Rank,Name,Net Worth,Age,Source,Country
1,Elon Musk,$251.3 B,52,"Tesla, SpaceX",United States
2,Bernard Arnault & family,$191.9 B,74,LVMH,France
3,Jeff Bezos,$172.2 B,59,Amazon,United States
4,Larry Ellison,$133.8 B,79,Oracle,United States
5,Mark Zuckerberg,$122.6 B,39,Facebook,United States
6,Warren Buffett,$120.1 B,93,Berkshire Hathaway,United States
7,Bill Gates,$119.0 B,68,Microsoft,United States
8,Larry Page,$116.1 B,50,Google,United States
9,Sergey Brin,$111.4 B,50,Google,United States
10,Steve Ballmer,$110.9 B,67,Microsoft,United States
11,Carlos Slim Helu & family,$104.5 B,83,Telecom,Mexico
12,Mukesh Ambani,$99.7 B,66,Diversified,India
13,Amancio Ortega,$99.1 B,87,Zara,Spain
14,Francoise Bettencourt Meyers & family,$96.7 B,70,L'Oréal,France
15,Michael Bloomberg,$96.3 B,81,Bloomberg LP,United States
16,Gautam Adani,$77.5 B,61,"Infrastructure, commodities",India
17,Michael Dell,$68.8 B,58,Dell Technologies,United States
18,Jim Walton & family,$66.8 B,75,Walmart,United States
19,Rob Walton & family,$66.0 B,79,Walmart,United States
20,Zhong Shanshan,$65.4 B,69,"Beverages, pharmaceuticals",China
21,Alice Walton,$61.8 B,74,Walmart,United States
22,David Thomson & family,$60.6 B,66,Media,Canada
23,Julia Koch & family,$59.3 B,61,Koch Industries,United States
24,Prajogo Pangestu,$55.9 B,79,"Petrochemicals, energy",Indonesia
25,Charles Koch & family,$54.0 B,88,Koch Industries,United States
